Team   1: 		ADCEFI	B	AEFDCJ	ACDEGH	B
Team   2: 		AEFDCJ	ADEGCH	ACEFDI	B	B
Team   3: 		AEFCDH	B	ACDEGJ	B	ADEFCI
Team   4: 		B	ADEFCH	B	ACEFDI	ADCEGJ
Team   5: 		AEFDCI	ACEGDJ	B	ADCEFH	B
Team   6: 		ADCEGJ	ACEFDI	AEFCDH	B	B
Team   7: 		AEFDCJ	B	ACDEGH	B	ACEFDI
Team   8: 		B	ADCEGI	ACEFDJ	B	AEFDCH
Team   9: 		ADCEGJ	B	AEFDCH	B	ACEFDI
Team  10: 		B	B	ACEFDJ	ADCEFI	ADEGCH
Team  11: 		AEGCDJ	B	B	ADCEFH	AEFDCI
Team  12: 		B	AEFDCJ	B	ADEGCI	AEFCDH
Team  13: 		B	B	AEFDCH	ACDEFI	ADEGCJ
Team  14: 		B	ADCEGI	ACDEFH	ACEFDJ	B
Team  15: 		B	ACEGDJ	ADCEFH	AEFDCI	B
Team  16: 		ADCEGH	AEFCDI	B	ACDEFJ	B
Team  17: 		B	B	AEFCDI	ADEGCJ	AEFDCH
Team  18: 		ACEGDH	B	ADCEFI	B	ACDEFJ
Team  19: 		ADEFCH	B	ACEGDI	AEFDCJ	B
Team  20: 		AEFCDH	B	B	ADEFCJ	AEGDCI
Team  21: 		ADCEGH	B	B	ADEFCI	AEFCDJ
Team  22: 		ADEGCJ	B	ACEFDI	B	ACDEFH
Team  23: 		B	B	AEFCDJ	ADCEFI	AEGDCH
Team  24: 		AEFCDJ	ACEGDI	B	B	ACDEFH
Team  25: 		ACDEGJ	AEFDCI	B	B	AEFCDH
Team  26: 		ACEFDI	ADCEFJ	B	ACDEGH	B
Team  27: 		B	AEGCDI	ADCEFH	AEFDCJ	B
Team  28: 		AEFCDH	B	ACDEFI	ACEGDJ	B
Team  29: 		AEGDCJ	ACDEFH	B	B	ADEFCI
Team  30: 		B	AEFCDJ	B	ACDEFH	ADEGCI
Team  31: 		B	B	AEFCDJ	ACEGDI	AEFDCH
Team  32: 		B	AEFCDJ	ACEFDI	B	ADEGCH
Team  33: 		ADEGCH	B	B	AEFDCJ	ACDEFI
Team  34: 		ADCEGH	B	B	ACDEFI	ACEFDJ
Team  35: 		ACEFDH	ADEGCJ	AEFCDI	B	B
Team  36: 		ACEGDH	ADEFCJ	B	B	ACDEFI
Team  37: 		AEFCDI	B	ADCEGJ	B	ACEFDH
Team  38: 		AEFCDH	ADCEFJ	B	AEGDCI	B
Team  39: 		B	ACDEFH	B	AEGCDI	ACEFDJ
Team  40: 		AEGDCJ	B	B	ACEFDH	ACDEFI
Team  41: 		B	ADCEFH	B	ACEFDI	AEGDCJ
Team  42: 		AEGDCJ	ACEFDH	ADCEFI	B	B
Team  43: 		ACEGDH	B	B	ACDEFJ	AEFDCI
Team  44: 		ADEFCI	ACDEFJ	AEGDCH	B	B
Team  45: 		B	ACDEFH	B	ADCEGI	ADEFCJ
Team  46: 		B	ADEFCI	ACDEGH	B	ADCEFJ
Team  47: 		ACEFDI	ADEFCH	AEGCDJ	B	B
Team  48: 		ACDEFJ	ADEGCI	B	B	AEFCDH
Team  49: 		ADCEFH	B	ACDEGI	B	AEFCDJ
Team  50: 		B	ACEGDJ	AEFCDH	ADCEFI	B
Team  51: 		AEGDCH	B	ADEFCJ	ADCEFI	B
Team  52: 		AEFDCJ	ACDEFH	B	B	ADEGCI
Team  53: 		B	AEGCDJ	ACEFDI	ADCEFH	B
Team  54: 		B	ADEFCJ	ACDEFH	ADCEGI	B
Team  55: 		ADCEFJ	AEGCDI	B	ACEFDH	B
Team  56: 		ADEFCI	B	ACEGDJ	B	AEFDCH
Team  57: 		B	AEFCDH	ACDEFI	B	ACEGDJ
Team  58: 		B	ADCEFH	B	ACDEGI	ACEFDJ
Team  59: 		ADEFCI	B	AEGCDJ	B	AEFDCH
Team  60: 		ACDEFI	AEFDCH	B	B	ADCEGJ
Team  61: 		B	ACEGDJ	AEFDCH	ADEFCI	B
Team  62: 		AEFCDH	ADEFCJ	B	ACEGDI	B
Team  63: 		B	ADCEFH	B	ACEGDJ	AEFDCI
Team  64: 		B	ACDEGI	B	ADCEFJ	ACEFDH
