Team,Leg 1,Leg 2,Leg 3,Leg 4,Leg 5,Leg 6
1,AE,BD,AC,BE,AD,BC
2,BD,AC,BE,AD,BC,AE
3,BC,AE,AD,AC,BE,BD
4,AD,BE,BD,BC,AE,AC
5,BE,BC,AE,BD,AC,AD
6,AC,AD,BC,AE,BD,BE
7,BE,AE,AD,AC,BD,BC
8,BC,AD,AC,BD,AE,BE
9,AC,BD,BE,AE,BC,AD
10,BD,AE,BC,AD,AC,BE
11,AE,BC,AD,BE,BD,AC
12,AD,AC,BE,AE,BC,BD
13,BD,AC,BE,BC,AD,AE
14,BC,BD,AE,AD,BE,AC
15,AD,BE,AC,BC,AE,BD
16,AC,BE,BD,BC,AD,AE
17,AC,AE,AD,BE,BC,BD
18,BE,AC,BD,AE,AD,BC
19,BE,AE,BD,BC,AC,AD
20,AC,BC,BE,AD,AE,BD
21,AE,BD,BC,AD,AC,BE
22,BD,AC,AD,AE,BE,BC
23,BD,BC,AE,BE,AC,AD
24,BC,BD,AE,AC,AD,BE
25,AE,BD,AC,BE,BC,AD
26,BC,AE,BE,AD,BD,AC
27,AE,AD,BE,BC,AC,BD
28,BD,AE,AC,BC,AD,BE
29,BD,BE,BC,AD,AE,AC
30,AC,AD,BD,BE,BC,AE
31,AD,AC,AE,BD,BE,BC
32,AD,BE,BC,AE,BD,AC
33,AD,BE,AC,AE,BC,BD
34,BC,BD,BE,AC,AD,AE
35,AE,AC,BC,BD,BE,AD
36,AC,AD,AE,BC,BE,BD
37,BE,AC,BD,AD,BC,AE
38,AC,BC,BD,AD,AE,BE
39,AC,AD,BE,BD,BC,AE
40,BE,AC,AD,BC,AE,BD
41,BD,AD,BC,AE,BE,AC
42,AD,AE,BC,BD,BE,AC
43,AE,AC,BD,AD,BC,BE
44,AC,BE,BC,AD,BD,AE
45,AD,AE,AC,BE,BC,BD
46,AD,AC,BD,AE,BE,BC
47,BD,BE,AE,AC,AD,BC
48,BC,BD,AE,AC,BE,AD
49,BC,AE,BD,AD,AC,BE
50,BC,AE,AD,AC,BD,BE
51,BC,AE,AD,BD,BE,AC
52,BD,BC,AC,AE,BE,AD
53,AC,BE,AD,BC,BD,AE
54,BE,BC,BD,AC,AE,AD
55,BE,BC,AE,AD,BD,AC
56,BE,AD,AE,AC,BC,BD
57,BD,BC,BE,AC,AD,AE
58,BE,AC,AD,BD,AE,BC
59,AE,BD,AC,BC,BE,AD
60,BE,AD,BC,AC,BD,AE
61,AC,BE,BC,AE,AD,BD
62,BE,AC,BD,BC,AE,AD
63,AE,BE,AC,BD,AD,BC
64,BC,AC,AE,BD,BE,AD
65,BE,BD,AD,AC,AE,BC
66,BD,AC,AD,BC,BE,AE
67,BE,AC,BD,BC,AD,AE
68,AD,BD,BE,AC,AE,BC
69,BE,BD,AD,AE,BC,AC
70,AE,AD,AC,BE,BD,BC
71,AE,BC,AD,AC,BD,BE
72,BC,AD,BE,BD,AC,AE
73,BD,BE,AE,AD,AC,BC
74,AC,BE,AE,BD,BC,AD
75,AE,BD,AD,BC,AC,BE
76,AD,AE,BD,BC,BE,AC
77,AC,BD,BE,AD,BC,AE
78,BC,AD,BE,AC,AE,BD
79,BC,BD,AD,AE,AC,BE
80,AC,AD,BD,BE,AE,BC
81,BC,AD,BE,AC,BD,AE
82,AC,BE,AD,BD,AE,BC
83,BC,BD,AC,AD,BE,AE
84,BC,AE,AC,BD,BE,AD
85,AE,AC,BC,BD,AD,BE
86,AD,AE,BC,BE,BD,AC
87,BE,AC,BC,AD,BD,AE
88,AD,BE,AC,BD,AE,BC
89,AE,AC,BE,BC,AD,BD
90,AC,AD,BE,AE,BC,BD
91,AE,BC,BD,BE,AD,AC
92,BE,AD,BD,BC,AC,AE
93,BC,BD,AE,AD,AC,BE
