Team   1: 		ADBCG	BCGAD	CGBAE	ADCFB	CFAEB	BAECF
Team   2: 		CFBAD	AECGB	BAECF	CGADB	AEBCG	BCFAD
Team   3: 		CFAEB	BCFAD	AEBCG	BAECF	ADCGB	CGBAD
Team   4: 		BAECG	AEBCF	CFADB	BCGAD	AECGB	CFBAD
Team   5: 		AECFB	BAECF	CGAEB	ADBCF	CGBAD	BCGAD
Team   6: 		BADCG	ADBCF	CFAEB	ADCGB	BCGAE	CFBAE
Team   7: 		CGBAD	ADCFB	BCGAE	CFADB	AEBCF	BAECG
Team   8: 		CGAEB	BCFAE	ADCFB	CFBAD	BADCG	AEBCG
Team   9: 		BCFAD	CGBAD	AEBCF	AECFB	CGADB	BAECG
Team  10: 		BAECF	ADCGB	CGBAD	BCFAE	ADBCF	CGAEB
Team  11: 		CGBAE	BADCF	ADBCF	CFAEB	BCGAD	AECGB
Team  12: 		AECGB	BCGAE	CGADB	AEBCF	BADCF	CFBAD
Team  13: 		CFADB	AECFB	BADCG	AEBCG	BCFAE	CGBAD
Team  14: 		AEBCG	CFBAD	BCFAE	BAECG	ADCFB	CGADB
Team  15: 		CGADB	BAECG	AECFB	CFBAE	ADBCG	BCFAD
Team  16: 		ADBCF	CGAEB	BAECG	BCFAD	CFBAD	AECGB
Team  17: 		BCGAD	CFBAE	ADCGB	BADCF	CGAEB	AEBCF
Team  18: 		BCGAE	ADBCG	CFBAD	AECGB	CFADB	BAECF
Team  19: 		ADCFB	CGADB	BCFAD	CGBAE	BAECG	AEBCF
Team  20: 		BCFAE	CFADB	ADBCG	BADCG	CGBAE	AECFB
Team  21: 		BADCF	CGBAE	AECGB	ADBCG	BCFAD	CFAEB
Team  22: 		ADCGB	BADCG	CFBAE	BCGAE	AEBCF	CFADB
Team  23: 		CFBAE	AEBCG	BADCF	CGAEB	BCFAD	ADCGB
Team  24: 		AEBCF	CFAEB	BCGAD	CGBAD	AECFB	BADCG
Team  25: 		AEBCF	BCGAE	CGADB	CFBAE	ADCFB	BADCG
Team  26: 		AEBCG	BAECF	CFBAE	BCGAD	ADCGB	CFADB
Team  27: 		ADCFB	CFAEB	BADCF	BCGAE	CGBAD	AEBCG
Team  28: 		BCFAE	CFBAD	ADBCG	AECGB	BAECG	CFADB
Team  29: 		ADBCF	CFBAD	BCGAD	CGAEB	AECFB	BAECG
Team  30: 		BAECF	CGAEB	AECGB	CFBAD	BCGAD	ADBCF
Team  31: 		BADCG	ADCFB	CFAEB	CGBAD	BCFAE	AEBCG
Team  32: 		AEBCF	CFADB	BAECG	AECGB	BCGAD	CFBAD
Team  33: 		BADCG	CFADB	AECGB	BCFAD	AEBCG	CFBAE
Team  34: 		CFBAE	BAECF	ADBCG	BCGAE	ADCFB	CGADB
Team  35: 		AECFB	CGADB	BCGAD	CFBAD	AEBCF	BAECG
Team  36: 		BADCF	CGAEB	AECFB	CGBAD	BCGAE	ADBCF
Team  37: 		CFADB	ADCFB	BADCG	CGBAE	BCGAE	AEBCF
Team  38: 		AECGB	CGBAE	BADCF	BCGAD	CFAEB	ADBCF
Team  39: 		BCGAE	AEBCF	CFADB	BADCF	CGBAE	ADCGB
Team  40: 		ADCFB	BCGAE	CGBAE	BADCF	CGADB	AEBCF
Team  41: 		BADCF	CGBAE	ADCFB	AEBCG	BCFAE	CGADB
Team  42: 		BCFAD	AEBCF	CFAEB	BADCG	AECGB	CGBAD
Team  43: 		AECGB	CFAEB	BADCG	ADBCF	BCFAD	CGBAE
Team  44: 		CGBAE	ADBCF	BAECG	AECFB	CGADB	BCFAD
Team  45: 		AEBCG	BCGAD	CFADB	CFBAE	AECGB	BADCF
Team  46: 		BCGAD	AECFB	CGBAE	CGADB	ADBCF	BAECF
Team  47: 		ADCGB	CGADB	BCFAD	AEBCF	CGBAE	BAECF
Team  48: 		CGAEB	BADCF	ADCFB	CGBAE	ADBCG	BCFAE
Team  49: 		ADCFB	BCGAD	CFADB	BAECG	AEBCF	CGBAE
Team  50: 		AECFB	CGBAD	BADCF	CFADB	BCGAE	AEBCG
Team  51: 		CFADB	AECGB	BAECF	CGBAD	ADBCG	BCFAE
Team  52: 		BCGAD	ADCGB	CFBAE	BAECF	ADBCG	CFAEB
Team  53: 		AECFB	CFBAD	BCGAD	BAECG	ADBCF	CGAEB
Team  54: 		ADCGB	CFAEB	BCGAE	BADCG	CFBAD	AEBCF
Team  55: 		ADCGB	BCFAD	CFBAD	BAECG	AEBCG	CFAEB
Team  56: 		BCFAE	ADBCG	CFAEB	BADCF	CGBAD	AECGB
Team  57: 		AECGB	BCGAE	CFBAD	BADCG	ADBCF	CFAEB
Team  58: 		CFBAD	BAECF	ADCFB	AEBCG	CGAEB	BCGAD
Team  59: 		CFBAE	BCGAD	ADBCG	AECFB	CFADB	BAECG
Team  60: 		BCGAE	CGADB	ADCGB	BAECF	CFBAE	ADBCF
Team  61: 		BAECF	CGAEB	ADCGB	CFBAD	BCFAD	AEBCG
Team  62: 		BAECG	CFADB	ADCGB	AEBCF	CGBAE	BCFAD
Team  63: 		CFBAE	BADCF	AEBCG	ADCGB	CGADB	BCFAE
Team  64: 		AEBCF	BADCF	CGBAD	CGADB	BCFAE	AECGB
